Car_ID. ,ID,Brand,Model,Mileage,Price,Currency,Engine_Power,GearBox,Year,Fuel_Type,Horse_Power,On_Page
6118437325,44,BMW,Seria 5 530e Touring,39 000 km,189 000,PLN,1 998 cm3,Automatyczna,2022,Hybryda,292 KM,2
6121929397,45,BMW,Seria 7 Active Hybrid,141 000 km,71 900,PLN,4 395 cm3,Automatyczna,2010,Hybryda,449 KM,2
6117737054,46,BMW,Seria 7,10 000 km,599 900,PLN,2 998 cm3,Automatyczna,2023,Hybryda,313 KM,2
6121780580,47,BMW,Seria 3,4 000 km,330 100,PLN,1 998 cm3,Automatyczna,2023,Hybryda,292 KM,2
6112392720,48,BMW,XM,5 km,813 400,PLN,4 395 cm3,Automatyczna,2023,Hybryda,653 KM,2
6122904591,49,BMW,Seria 5 ActiveHybrid Luxury Line,174 107 km,81 900,PLN,2 979 cm3,Automatyczna,2013,Hybryda,306 KM,2
6117513636,50,BMW,Seria 5 530e iPerformance,141 700 km,139 900,PLN,1 998 cm3,Automatyczna,2017,Hybryda,184 KM,2
6118756420,51,BMW,Seria 5,5 km,422 800,PLN,2 998 cm3,Automatyczna,2023,Hybryda,286 KM,2
6123151985,52,BMW,Seria 2,92 256 km,84 100,PLN,1 499 cm3,Automatyczna,2019,Hybryda,225 KM,2
6116844031,53,BMW,Seria 3,1 km,253 000,PLN,1 998 cm3,Automatyczna,2023,Hybryda,184 KM,2
6118837817,54,BMW,Seria 5,27 550 km,239 900,PLN,1 998 cm3,Automatyczna,2022,Hybryda,292 KM,2
6122902391,55,BMW,Seria 7,67 320 km,339 900,PLN,2 993 cm3,Automatyczna,2019,Hybryda,395 KM,2
6120470832,56,BMW,X3,1 km,303 232,PLN,1 998 cm3,Automatyczna,2024,Hybryda,184 KM,2
6118689426,57,BMW,XM,1 km,865 000,PLN,4 395 cm3,Automatyczna,2023,Hybryda,489 KM,2
6111798619,58,BMW,i8,77 000 km,305 000,PLN,1 499 cm3,Automatyczna,2016,Hybryda,231 KM,2
6120236130,59,BMW,XM,1 km,1 242 403,PLN,4 395 cm3,Automatyczna,2023,Hybryda,585 KM,2
6121765689,60,BMW,X3,4 150 km,319 900,PLN,1 998 cm3,Automatyczna,2023,Hybryda,292 KM,2
6123142190,61,BMW,XM,5 km,936 500,PLN,4 395 cm3,Automatyczna,2023,Hybryda,653 KM,2
6117636816,62,BMW,Seria 5,71 008 km,119 900,PLN,1 998 cm3,Automatyczna,2018,Hybryda,186 KM,2
6119362781,63,BMW,XM,12 km,831 900,PLN,4 395 cm3,Automatyczna,2023,Hybryda,585 KM,2
6119456488,64,BMW,XM,12 km,826 500,PLN,4 395 cm3,Automatyczna,2023,Hybryda,653 KM,3
6114343701,65,BMW,Seria 3 ActiveHybrid Sport-Aut Sport Line,190 000 km,89 900,PLN,2 979 cm3,Automatyczna,2013,Hybryda,306 KM,3
6117562474,66,BMW,X5 xDrive45e xLine,5 000 km,529 000,PLN,2 998 cm3,Automatyczna,2023,Hybryda,286 KM,3
6117500398,67,BMW,Seria 5,5 km,394 700,PLN,1 998 cm3,Automatyczna,2023,Hybryda,299 KM,3
6110378697,68,BMW,X5,32 000 km,405 900,PLN,2 998 cm3,Automatyczna,2022,Hybryda,394 KM,3
6123135621,69,BMW,Seria 7,5 km,850 000,PLN,2 998 cm3,Automatyczna,2023,Hybryda,571 KM,3
6119170021,70,BMW,X5,165 000 km,119 899,PLN,1 997 cm3,Automatyczna,2016,Hybryda,245 KM,3
6117839001,71,BMW,Seria 7,5 km,829 600,PLN,2 998 cm3,Automatyczna,2023,Hybryda,381 KM,3
6119036960,72,BMW,Seria 3,20 km,234 900,PLN,1 998 cm3,Automatyczna,2023,Hybryda,164 KM,3
6117133083,73,BMW,XM,29 000 km,729 000,PLN,4 395 cm3,Automatyczna,2023,Hybryda,585 KM,3
6120142948,74,BMW,X5,8 000 km,540 000,PLN,2 998 cm3,Automatyczna,2023,Hybryda,489 KM,3
6122195988,75,BMW,Seria 5,105 092 km,134 900,PLN,1 998 cm3,Automatyczna,2019,Hybryda,252 KM,3
6109840810,76,BMW,X5 xDrive40e,120 000 km,57 700,PLN,1 997 cm3,Automatyczna,2017,Hybryda,245 KM,3
6119198584,77,BMW,Seria 5 530e iPerformance Luxury Line,84 800 km,144 500,PLN,1 998 cm3,Automatyczna,2018,Hybryda,184 KM,3
6111886728,78,BMW,Seria 3 330e M Sport sport,120 000 km,164 900,PLN,1 998 cm3,Automatyczna,2019,Hybryda,184 KM,3
6114465453,79,BMW,Seria 5,45 500 km,179 000,PLN,1 998 cm3,Automatyczna,2019,Hybryda,184 KM,3
6119458509,80,BMW,Seria 5,18 900 km,229 900,PLN,1 998 cm3,Automatyczna,2022,Hybryda,292 KM,3
6117624243,81,BMW,X1,1 km,256 142,PLN,1 499 cm3,Automatyczna,2024,Hybryda,136 KM,3
6123095716,82,BMW,X5,9 200 km,499 900,PLN,2 998 cm3,Automatyczna,2023,Hybryda,490 KM,3
6119656724,83,BMW,X3,5 km,309 300,PLN,1 998 cm3,Automatyczna,2023,Hybryda,292 KM,3
6112152144,84,BMW,XM,27 km,781 468,PLN,4 395 cm3,Automatyczna,2023,Hybryda,653 KM,3
6121968676,85,BMW,Seria 3,45 000 km,135 900,PLN,1 998 cm3,Automatyczna,2019,Hybryda,293 KM,3
6112067537,86,BMW,XM,5 km,814 500,PLN,4 395 cm3,Automatyczna,2023,Hybryda,489 KM,3
6117959754,87,BMW,Seria 3,5 km,256 900,PLN,1 998 cm3,Automatyczna,2023,Hybryda,163 KM,3
6107519473,88,BMW,Seria 2,5 000 km,205 900,PLN,1 499 cm3,Automatyczna,2023,Hybryda,136 KM,3
6121985277,89,BMW,Seria 3,16 800 km,219 900,PLN,1 998 cm3,Automatyczna,2021,Hybryda,292 KM,3
6105019067,90,BMW,Seria 5 530e xDrive M Sport sport,5 000 km,256 900,PLN,1 998 cm3,Automatyczna,2022,Hybryda,184 KM,3
6122854809,91,BMW,XM,5 km,965 400,PLN,null,Automatyczna,2024,Hybryda,null,3
6118393671,92,BMW,Seria 3,29 000 km,157 000,PLN,1 998 cm3,Automatyczna,2020,Hybryda,184 KM,3
6119689410,93,BMW,Seria 2,40 000 km,77 900,PLN,1 499 cm3,Automatyczna,2018,Hybryda,224 KM,3
6045260807,94,BMW,i8,28 279 km,299 000,PLN,1 499 cm3,Automatyczna,2015,Hybryda,362 KM,3
6120916221,95,BMW,Seria 5,6 km,402 200,PLN,1 998 cm3,Automatyczna,2023,Hybryda,299 KM,3
6118182430,96,BMW,Seria 3,5 km,228 100,PLN,1 998 cm3,Automatyczna,2023,Hybryda,163 KM,4
6110459150,97,BMW,Seria 2,15 150 km,199 900,PLN,1 499 cm3,Automatyczna,2022,Hybryda,150 KM,4
6116837732,98,BMW,Seria 5,74 000 km,115 900,PLN,1 998 cm3,Automatyczna,2019,Hybryda,184 KM,4
